,trough,expansion,peak,contraction,all_data
XLB,5.916766758030562,1.4395446951362116,2.5364954171092067,0.5615499924214933,0.4608771113025953
XLI,4.282411793958326,1.8372829539842428,2.4908433232382503,-0.09486369190015397,0.6109759395459148
XLF,2.065750133580504,1.6708371579032917,3.705400908346369,0.7898448353360749,0.6963825692983208
XLK,2.8177133044501286,1.5162826021453673,1.852264008896776,-1.1617741954917953,0.8334319146236705
XLY,6.084581681650244,1.6316830351299987,1.9359440209958192,1.3665689431925112,0.7572896786121146
XLP,1.6540953976256907,1.430497383370798,0.832840709165033,0.7507415446819089,0.9245759216185899
XLE,4.039108708502593,0.912162066663637,1.302256515137469,0.47444577312593694,0.9839188075669688
XLV,2.396721468951991,1.8274557450559883,1.3381114819987228,-0.3434535415807361,0.8781278002367475
VOX,7.099301745751002,1.0470399593682538,1.7681491973265642,-1.6368274079293759,0.6741088160979226
XLU,-0.6423115163966734,0.5715467652646684,1.0501739833095902,-1.6314695103690546,0.6236618626664502
IYR,1.7370834765831251,0.5817790399703997,0.8268577491430857,2.373195015340606,0.5116328945514075
