,trough,expansion,peak,contraction,all_data
XLB,3.551552364925883,1.697678808809721,1.3477024427621558,4.288698652322838,3.5946364964088913
XLI,5.608798584407322,1.7795891596705524,0.8924783814175241,2.3132494878808942,3.2084145399263906
XLF,14.119495520559768,1.653851348724219,2.0539740372587723,4.552466674077876,3.522285751177625
XLK,1.1616138367505064,1.9269811868721587,0.9048893364443692,1.9211699819045545,2.9412063090123652
XLY,3.8872246745453785,1.4666565805974534,0.6728382523199412,1.8420040471719237,3.0796581341164475
XLP,2.3483899593342508,1.3805449126213372,0.775663821510634,0.9877052520309957,1.4968540222456501
XLE,2.9906204561676604,2.2166107354597013,1.2194738103580034,5.756229753336943,4.592584949571704
XLV,2.6127435193420805,1.6350449665421987,0.7814859553326465,1.558563200450118,2.2641662993479112
VOX,3.9439201621201416,1.211690259705009,0.9505780260673149,3.042552087942598,2.5451110604718377
XLU,2.5934549647346166,1.0717099207947558,0.9554284521980034,2.3209823354817156,2.144197086258264
IYR,7.717270551673126,1.328147376518802,1.0112214912615973,2.805553213953132,3.0449258625333275
