,trough,expansion,peak,contraction,all_data
XLB,17.903522676183687,5.447763670871165,3.010945093797883,10.788331497427642,12.568739461257204
XLI,12.276834101417748,5.783704824914504,3.157050511865617,6.971500444973046,11.465844845519207
XLF,24.07677914987261,5.8534996524540475,4.6201949488031335,6.782221990900023,14.607801599927413
XLK,13.06857757825918,4.5188389947841126,5.419570386678498,7.874805267355354,11.591208389457307
XLY,15.072415314471211,5.391120546999459,3.1570830895421707,6.114836203782677,12.081605676464964
XLP,5.797155068758606,4.360960766533291,1.5664253524165985,2.6143698567310945,6.308895679142438
XLE,9.715470416011419,8.72562144889995,6.12948594520552,15.269755902419103,16.60608843568178
XLV,5.191338864648912,4.542060092820141,5.756185620146275,6.4765957607470686,7.830010845921933
VOX,9.957418746884134,5.30105645800416,3.5301096685874667,7.049592395407049,11.418887606499183
XLU,4.79370145318246,6.009208114332977,2.059707595243246,6.718743346992269,8.096367823600044
IYR,18.566376044361206,6.4433107973139565,2.260762654307103,8.31541463573119,12.266750450816579
