,trough,expansion,peak,contraction,all_data
XLB,7.765886595464213,2.1425789492017446,4.150887983828431,0.8995667872842562,1.3155837822031387
XLI,4.464829807388884,2.8538276381559955,4.117308843091705,-0.5068468524597404,1.4832332432234383
XLF,0.2838594694756651,2.677466311752978,6.4567460322029975,-1.6467905166956163,1.305553474963355
XLK,4.230295431796753,2.3446113992698163,3.693765108856871,-1.2907741481803876,1.8754406676795616
XLY,8.691319927495336,2.455413608108959,2.578698734374314,1.6464437056839802,1.6683442554003056
XLP,1.5717619470600566,2.3440595779359352,1.268152322109722,1.2525286428021485,1.597864768473069
XLE,5.299420702529511,1.6559259070111667,1.880704370449071,2.0243736139923563,1.4659241588389889
XLV,2.783722657494737,2.817682596387997,2.868913944891379,-0.18899970103856395,1.581485426272398
VOX,9.19042501141556,1.7070077350945212,3.2561732638151053,-1.8276516367040017,1.3483495457752637
XLU,-0.8463585045908681,1.1249553327150859,1.487739543013228,-1.6071487319792561,1.0909272268839025
IYR,1.9499971479776776,1.106684686503212,1.0233595079213071,3.311513269342241,1.1375193386645241
