,trough,expansion,peak,contraction,all_data
XLB,11.174143407347263,2.4483783166392215,5.049948058731437,1.472339888911773,1.5054742745092309
XLI,5.515256098054217,3.4117226336845374,5.340034957510446,-0.8694827178705945,1.811708685272159
XLF,1.267033561473237,3.3371931505923,7.7778715249986785,-3.145847082052546,1.5624833100644677
XLK,6.071916606422607,2.7323601488776594,4.881071723197269,-1.431121538276033,2.2723065241064444
XLY,11.241555218655154,3.1691069297821532,3.005517531390457,1.9076787474278563,1.790862391293035
XLP,1.7192806230749171,2.9668233660363263,1.6561638956218987,1.387998900214487,1.8876023823358696
XLE,6.397671043996728,1.615090909407452,2.3311411683389287,2.9547609191133795,1.7317461681661586
XLV,2.573295672697589,3.8513320164058493,3.7793613519983102,-0.2684868664743673,2.0047332642891313
VOX,11.041421425081298,1.8897042565262578,4.093589304557145,-2.1517210839058833,1.3746415975003663
XLU,-1.0646806062887046,1.412237989227668,1.7412531883972822,-1.839586464259229,1.4176595162958756
IYR,2.640539132506513,1.6261144114804518,1.1806734548197584,4.019157331924882,1.6715138926783601
