,trough,expansion,peak,contraction,all_data
XLB,7.6597342060706275,1.7206241406931815,2.3656863721710355,0.9060067148142135,1.0300442681445434
XLI,5.088095123560081,2.2216560438873625,1.9726414634354965,-0.28905535888712736,0.9650819211567365
XLF,8.163408415358951,2.17063476066403,2.0365654732716076,-1.6323983012857903,0.6914036289008244
XLK,8.596910076469252,1.2582826957503082,1.8192496101792914,-0.522988670660376,1.1851158549620608
XLY,10.573797607220154,2.1252336654134445,2.2048953694735633,1.5029212025075502,0.9643023059461161
XLP,1.172816143484928,1.4831931046382694,0.5223174698697457,1.613031853196158,1.0170857910783542
XLE,5.6395367950747435,0.25009434004338293,1.7895017805394833,-1.4955361275756793,0.8352517664299605
XLV,4.429099460517339,1.8112172279565966,1.917921343314501,-0.2243291163636591,0.9762630736607167
VOX,10.254094742872418,1.4624488051483926,2.191809535990374,-1.3116486346577314,0.9941632197539773
XLU,0.45032707329993205,0.8095291448405674,1.472283711348846,-1.718659517419802,1.01639765911171
IYR,9.393153390860096,0.7774492880257567,0.9437679929402519,2.5884826466199695,0.5866306626502804
