,trough,expansion,peak,contraction,all_data
XLB,0.11137644526000103,2.9090021741100323,7.766656143290888,5.470918173077108,4.047584029777241
XLI,5.913363871060011,4.578447937554251,6.4005882831919525,-2.387284050266915,3.252669435782569
XLF,-2.508752796779484,3.0477828639897515,8.084169895289591,-2.460389690545672,2.7378410419199444
XLK,1.156224778976389,4.05200416826903,4.975442620359123,2.767963754524717,3.557676838891425
XLY,5.5429872604804675,3.9614240162324426,13.285348960520572,4.977997377716247,3.9777654910228515
XLP,0.8998955503610088,2.958756025067509,0.4876972279983066,4.634062743884071,3.3871380310661476
XLE,4.221544912418752,4.733001014107417,8.942925393913754,2.9333181770126813,4.492614175741118
XLV,3.2777631497819737,2.715800677821472,2.9646036472199673,7.092936794026968,4.140227668194572
VOX,4.6673445485201865,5.070946261395782,4.56190960502989,4.709324505731585,4.077543053098342
XLU,1.0031366870835925,4.014553302051372,2.1646926011612515,2.628947105316714,3.609533892650014
IYR,3.588611715017348,1.7620731254966717,0.9480903332943416,2.8641588824125295,3.9216750139596224
