,trough,expansion,peak,contraction,all_data
XLB,1.283466878146645,6.456252888712096,2.3585267963880874,2.495865032960755,5.420360016371925
XLI,2.2021479312577434,6.47034083858024,3.115011807574291,0.6512374543071661,4.6940104862134255
XLF,13.464279191294581,3.1916721758468847,1.1920017781430998,6.760414781140129,4.991184339497929
XLK,0.780705756173669,5.4232359699691965,1.5865520638509802,2.729230946316873,4.960740535859839
XLY,1.3761296335147044,4.969036369847639,4.5818401802873705,3.077592496890873,4.848281650133402
XLP,4.786050670203133,5.142623476525815,1.833530079194343,3.59579900708858,4.464258167202591
XLE,1.406582201969684,4.6897783190935245,4.240838544551787,3.4707241396986763,6.193965858177972
XLV,2.9955228100219364,3.2685120606236033,2.2128283339782397,3.354844322984331,5.004102217594407
VOX,1.7680368649691052,5.701796073219241,1.8566724537812889,3.2636441868801396,5.3235584390568835
XLU,2.6170626619681676,5.150747016423113,3.2511465615597928,2.955485719389749,4.781067380325717
IYR,8.606023722166984,2.8496159033766078,3.1882942664025573,3.386548484178831,4.960364390086344
