,trough,expansion,peak,contraction,all_data
XLB,3.9009106003578706,7.191446793328089,4.863190280480598,-0.8799491781972691,5.0651713736700215
XLI,-8.87895803357322,9.078558714677477,8.266920443308143,-6.448492685576386,5.767748426189318
XLF,-18.992434653917268,10.30495681044117,11.545884401684338,-20.34709155086178,3.919354053085562
XLK,7.40368347221007,7.835554364859357,17.1548429414298,-4.478000948659006,7.754997186088167
XLY,7.091644469856594,9.879945186747209,4.622175611734835,-5.922727196877368,6.3494721417332265
XLP,-6.910654111266998,7.805315618662353,7.674491911111002,0.5906549888317734,4.956759702090071
XLE,-2.052397715036597,5.5834140977358855,-1.3892547467041174,3.765991900690569,4.241142673100508
XLV,-4.098440998469066,12.546292139113767,11.667411699822303,-5.143991525047496,5.564693432440056
VOX,10.851312206150366,7.534923631287617,8.610912775194167,-7.733938604154001,4.569639271115112
XLU,-7.357008170589702,6.301877117920614,8.854665539213586,-3.884051955433103,4.539562685173886
IYR,-14.042842444842625,5.69811433894093,5.864851810511182,-0.6035736009188785,4.4578987255180635
