,trough,expansion,peak,contraction,all_data
XLB,17.27746036589541,5.816821268704536,1.6254789289548095,7.179044069660146,14.057961787984988
XLI,12.414065107150835,6.478260252381928,1.9446220685033837,4.2565378297783445,13.442709773713073
XLF,21.660012356743643,6.269849736847277,1.4795656746543304,5.09442143349444,17.1274265055947
XLK,11.62964035583505,4.621630587784314,3.6895271765924775,5.153775985375587,12.71028254646791
XLY,16.036021887674373,5.926742817541978,2.0113035138104314,3.955490991255766,13.135227935559723
XLP,6.313259572446502,4.106936773969201,1.396013951587683,3.585569925721388,7.164913404421402
XLE,11.41034289846443,8.339107732413003,1.5811732458971917,10.446025228501844,18.233347815702928
XLV,7.670385283142065,4.471472304183036,2.3172458609836415,6.613367813074952,8.862317664806993
VOX,10.844259698284382,5.010314346926837,2.171423939567212,5.928107778252662,12.441251757818423
XLU,5.32403098039039,5.6698111099724215,3.5035171422172793,4.008001900791071,8.995880473761586
IYR,23.12683907823681,6.917594179394363,2.0685191538159082,4.377039494056281,14.699334721704808
