Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2007-12-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2007-12-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-01-02,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan
2008-01-03,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan
2008-01-04,nan,Buy,nan,Buy,Buy,Buy,nan,nan,Buy,nan,Buy
2008-01-07,nan,Buy,nan,Buy,Buy,nan,nan,nan,nan,nan,nan
2008-01-08,Buy,Buy,Buy,Buy,Buy,nan,nan,nan,Buy,nan,Buy
2008-01-09,nan,Buy,nan,nan,nan,nan,nan,nan,Buy,nan,nan
2008-01-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
