Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2012-01-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-01-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-02-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-02-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-02-03,nan,nan,Sell,Sell,Sell,nan,nan,nan,nan,nan,nan
2012-02-06,nan,nan,Sell,nan,nan,nan,Sell,nan,nan,nan,nan
2012-02-07,nan,nan,nan,nan,nan,nan,Sell,nan,nan,nan,nan
2012-02-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-02-09,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2012-02-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-02-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2012-02-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
