Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-06-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-06-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-01,Sell,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-02,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-03,Sell,nan,Sell,nan,nan,Sell,nan,nan,nan,nan,nan
2019-07-05,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-12,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan
2019-07-15,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan
2019-07-16,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-23,Sell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-26,nan,nan,Sell,nan,nan,nan,nan,nan,Sell,nan,nan
2019-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-31,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan
2019-08-01,nan,nan,Buy,nan,Buy,nan,Buy,nan,nan,nan,nan
2019-08-02,nan,nan,nan,nan,Buy,nan,Buy,nan,nan,nan,nan
2019-08-05,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,nan,nan
2019-08-06,Buy,nan,nan,Buy,Buy,Buy,Buy,nan,nan,nan,nan
2019-08-07,nan,nan,Buy,nan,nan,nan,Buy,nan,nan,nan,nan
2019-08-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2019-08-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2019-08-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-08-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-08-14,Buy,nan,Buy,nan,nan,nan,Buy,Buy,Buy,nan,nan
2019-08-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
