Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2007-12-03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2007-12-04,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2007-12-05,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Sell
2007-12-06,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2007-12-07,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2007-12-10,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2007-12-11,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy
2007-12-12,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy
2007-12-13,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Sell,Buy,Buy,Sell
2007-12-14,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Sell,Sell
2007-12-17,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2007-12-18,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2007-12-19,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2007-12-20,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2007-12-21,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2007-12-24,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Sell,Sell
2007-12-26,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Sell,Buy,Sell,Sell
2007-12-27,Buy,Buy,Sell,Buy,Sell,Sell,Buy,Sell,Buy,Sell,Sell
2007-12-28,Buy,Sell,Sell,Buy,Sell,Sell,Buy,Sell,Buy,Sell,Sell
2007-12-31,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Sell
2008-01-02,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2008-01-03,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2008-01-04,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-01-07,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-01-08,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-01-09,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2008-01-10,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2008-01-11,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2008-01-14,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2008-01-15,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2008-01-16,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2008-01-17,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell
2008-01-18,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-01-22,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-01-23,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy
2008-01-24,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy
2008-01-25,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy
2008-01-28,Sell,Buy,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy
2008-01-29,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy
2008-01-30,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy
2008-01-31,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Buy,Sell,Buy
2008-02-01,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Sell,Buy
2008-02-04,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2008-02-05,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2008-02-06,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Buy
2008-02-07,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Buy
2008-02-08,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2008-02-11,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell
2008-02-12,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-02-13,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-02-14,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-02-15,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-02-19,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-02-20,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-02-21,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Sell
2008-02-22,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Sell
2008-02-25,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-02-26,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-02-27,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-02-28,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-02-29,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Buy,Buy,Sell,Buy
2008-03-03,Buy,Sell,Sell,Buy,Sell,Buy,Buy,Buy,Sell,Sell,Sell
2008-03-04,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Sell,Sell
2008-03-05,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Sell
2008-03-06,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Sell,Sell
2008-03-07,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-03-10,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-03-11,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-03-12,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Sell
2008-03-13,Sell,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Sell
2008-03-14,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-03-17,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell
