Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2012-01-03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-04,Buy,Buy,Sell,Buy,Buy,Sell,Buy,Sell,Sell,Sell,Sell
2012-01-05,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Sell,Sell,Sell
2012-01-06,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Sell,Sell,Sell
2012-01-09,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Sell,Sell,Sell
2012-01-10,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,Sell,Sell
2012-01-11,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Sell,Sell,Buy
2012-01-12,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
2012-01-13,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
2012-01-17,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
2012-01-18,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Buy
2012-01-19,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy
2012-01-20,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy
2012-01-23,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy
2012-01-24,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy
2012-01-25,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy
2012-01-26,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy
2012-01-27,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy
2012-01-30,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,Sell,Buy
2012-01-31,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,Sell,Buy
2012-02-01,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Sell,Buy,Buy
2012-02-02,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2012-02-03,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2012-02-06,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2012-02-07,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
