Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-06-03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-04,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2019-06-05,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-06,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-07,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-10,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-11,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-12,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-13,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-14,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-17,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-18,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-19,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-20,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-21,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-24,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2019-06-25,Buy,Buy,Sell,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Sell
2019-06-26,Sell,Buy,Sell,Buy,Sell,Sell,Buy,Buy,Buy,Sell,Sell
2019-06-27,Sell,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2019-06-28,Sell,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2019-07-01,Buy,Buy,Buy,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell
2019-07-02,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Sell,Buy,Sell,Sell
2019-07-03,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,Sell
2019-07-05,Buy,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Buy,Sell,Buy
2019-07-08,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Sell,Buy
2019-07-09,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,Buy,Buy,Buy
2019-07-10,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Buy,Buy
2019-07-11,Sell,Sell,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Buy,Buy
2019-07-12,Sell,Sell,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2019-07-15,Sell,Sell,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Buy
2019-07-16,Sell,Buy,Buy,Sell,Buy,Buy,Sell,Sell,Buy,Sell,Buy
2019-07-17,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Sell,Buy,Sell,Sell
2019-07-18,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Buy,Sell
2019-07-19,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell
2019-07-22,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-07-23,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-07-24,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-07-25,Buy,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-07-26,Buy,Buy,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-07-29,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-07-30,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Sell
2019-07-31,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy
2019-08-01,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy
2019-08-02,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy
2019-08-05,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-08-06,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-08-07,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy
