Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2008-10-01,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2008-10-02,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell
2008-10-03,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-06,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-07,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-08,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-09,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-10,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-13,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-14,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-15,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-16,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-17,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-20,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-21,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-22,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-23,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-10-24,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-10-27,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-10-28,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-10-29,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Sell
2008-10-30,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell
2008-10-31,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-03,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-04,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-05,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-06,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-07,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-10,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-11,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-12,Buy,Buy,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-13,Buy,Buy,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-14,Buy,Buy,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Buy,Buy
2008-11-17,Sell,Sell,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Buy,Sell
2008-11-18,Sell,Sell,Sell,Sell,Sell,Buy,Buy,Sell,Sell,Buy,Sell
2008-11-19,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Sell
2008-11-20,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2008-11-21,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-11-24,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2008-11-25,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Sell,Sell,Buy,Buy
2008-11-26,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2008-11-28,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-01,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy
2008-12-02,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-03,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-04,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-12-05,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-12-08,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy
2008-12-09,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-10,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-11,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-12,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-15,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-16,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-17,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-18,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2008-12-19,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy
2008-12-22,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Buy
2008-12-23,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Sell,Sell,Buy
2008-12-24,Sell,Buy,Buy,Buy,Sell,Buy,Sell,Buy,Sell,Sell,Buy
2008-12-26,Sell,Buy,Buy,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Buy
2008-12-29,Sell,Buy,Buy,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Buy
2008-12-30,Sell,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Sell,Sell,Buy
2008-12-31,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy
2009-01-02,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2009-01-05,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2009-01-06,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2009-01-07,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2009-01-08,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
2009-01-09,Buy,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,Buy,Sell
2009-01-12,Buy,Buy,Sell,Buy,Sell,Sell,Buy,Sell,Buy,Buy,Sell
2009-01-13,Buy,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Sell
2009-01-14,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-15,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-16,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-20,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-21,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-22,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-23,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2009-01-26,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell
2009-01-27,Sell,Sell,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Sell
2009-01-28,Sell,Sell,Sell,Buy,Sell,Sell,Buy,Buy,Buy,Buy,Buy
2009-01-29,Sell,Sell,Sell,Buy,Sell,Buy,Buy,Buy,Sell,Buy,Buy
2009-01-30,Sell,Sell,Buy,Sell,Sell,Sell,Buy,Buy,Sell,Buy,Sell
2009-02-02,Sell,Sell,Buy,Sell,Sell,Sell,Sell,Buy,Sell,Buy,Sell
2009-02-03,Sell,Sell,Buy,Buy,Sell,Sell,Sell,Buy,Buy,Buy,Sell
2009-02-04,Sell,Sell,Buy,Buy,Sell,Sell,Sell,Buy,Sell,Buy,Sell
