Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2012-01-03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-09,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-10,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-20,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-01-23,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Buy,Sell
2012-01-24,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Buy,Sell
2012-01-25,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Sell,Hold,Hold,Sell
2012-01-26,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Sell,Hold,Hold,Sell
2012-01-27,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Sell,Hold,Hold,Sell
2012-01-30,Sell,Sell,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Sell
2012-01-31,Sell,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Sell
2012-02-01,Sell,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Sell
2012-02-02,Sell,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Sell
2012-02-03,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Sell,Hold,Hold,Sell
2012-02-06,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold,Hold,Sell
2012-02-07,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold,Hold,Sell
2012-02-08,Sell,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Sell
2012-02-09,Sell,Sell,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Sell
2012-02-10,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2012-02-13,Hold,Sell,Hold,Sell,Sell,Hold,Hold,Hold,Sell,Hold,Hold
2012-02-14,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2012-02-15,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold
2012-02-16,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold
2012-02-17,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold
2012-02-21,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold
2012-02-22,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold
2012-02-23,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold
2012-02-24,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Hold,Hold,Hold,Hold
2012-02-27,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Hold,Hold,Hold,Hold
2012-02-28,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2012-02-29,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-01,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-03-02,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-05,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-06,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-03-07,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-03-08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-03-09,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-03-12,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold
2012-03-13,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Hold,Hold,Sell,Sell
2012-03-14,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-15,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-16,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-19,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Sell
2012-03-20,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Sell,Hold,Sell
2012-03-21,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Hold,Sell,Hold,Hold
2012-03-22,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-23,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2012-03-26,Sell,Sell,Sell,Sell,Sell,Sell,Hold,Sell,Sell,Hold,Sell
2012-03-27,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold,Sell
2012-03-28,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold,Sell
2012-03-29,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2012-03-30,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Hold,Hold,Sell
2012-04-02,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2012-04-03,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Sell,Hold,Hold,Hold
2012-04-04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-05,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold
2012-04-09,Hold,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Hold,Hold
2012-04-10,Hold,Buy,Buy,Hold,Hold,Hold,Buy,Hold,Buy,Hold,Hold
2012-04-11,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Hold,Hold
2012-04-12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-16,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Hold,Hold
2012-04-17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-20,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-23,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold
2012-04-24,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-04-30,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Sell,Sell
2012-05-01,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Sell
2012-05-02,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell
2012-05-03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell
2012-05-04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-05-07,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-05-08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-05-09,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-05-10,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-05-11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell
2012-05-14,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-05-15,Buy,Buy,Buy,Buy,Hold,Hold,Buy,Buy,Hold,Hold,Hold
2012-05-16,Buy,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Hold,Hold,Hold
2012-05-17,Buy,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Hold,Hold,Buy
2012-05-18,Buy,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Hold,Hold,Buy
2012-05-21,Buy,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Hold,Buy
2012-05-22,Buy,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Hold,Buy
2012-05-23,Buy,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Hold,Hold
2012-05-24,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Hold,Hold,Hold,Hold
2012-05-25,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Hold,Hold,Hold,Hold
2012-05-29,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-05-30,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-05-31,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold
2012-06-01,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Buy,Hold,Hold,Buy
2012-06-04,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Hold
2012-06-05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-06-06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-06-07,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold
2012-06-19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold
2012-06-20,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Hold
2012-06-21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Hold
2012-06-22,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Hold
2012-06-25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-06-26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-06-27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-06-28,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-06-29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Sell
2012-07-02,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell
2012-07-03,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Hold,Sell
2012-07-05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell
2012-07-06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell
2012-07-09,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell
2012-07-10,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-07-11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2012-07-12,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Hold,Sell
2012-07-13,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Sell,Sell
2012-07-16,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Sell
2012-07-17,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Sell,Sell
