Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-06-03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-07,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-10,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-20,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-06-21,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
2019-06-24,Sell,Sell,Hold,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Sell
2019-06-25,Sell,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Sell,Hold,Hold
2019-06-26,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-27,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-06-28,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-01,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-02,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Sell,Hold,Hold
2019-07-03,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Sell,Sell,Hold,Hold
2019-07-05,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Sell,Hold,Hold
2019-07-08,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-09,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-10,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-11,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-12,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-15,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-16,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Sell,Hold,Hold
2019-07-17,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Sell,Sell,Hold
2019-07-18,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,Sell,Hold
2019-07-19,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold
2019-07-22,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-24,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-26,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-29,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-30,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
2019-07-31,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold
